"No.","Time","Source","Destination","Protocol","Length","Info"
"6","0.006372","176.235.75.83","172.16.7.65","TCP","56","443  >  54052 [ACK] Seq=1 Ack=1957 Win=506 Len=0"
"7","0.006372","176.235.75.83","172.16.7.65","TCP","56","443  >  54052 [ACK] Seq=1 Ack=3867 Win=521 Len=0"
"8","0.009957","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"9","0.009957","176.235.75.83","172.16.7.65","TLSv1.2","133","Application Data, Application Data"
"10","0.009957","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data, Application Data, Application Data, Application Data, Application Data"
"11","0.009957","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=2844 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"12","0.009957","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=4226 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"13","0.009957","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=5608 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"14","0.009957","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=6990 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"15","0.009957","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=8372 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"16","0.009957","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=9754 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"17","0.009957","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=11136 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"18","0.009957","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=12518 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"19","0.009957","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=13900 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"21","0.010396","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=15282 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"22","0.010396","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=16664 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"23","0.010396","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data"
"24","0.010396","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=19428 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"25","0.010396","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=20810 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"26","0.010396","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=22192 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"28","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=23574 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"29","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [PSH, ACK] Seq=24956 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"30","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=26338 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"31","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=27720 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"32","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=29102 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"33","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=30484 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"34","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=31866 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"35","0.011221","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data"
"36","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=34630 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"37","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=36012 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"38","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=37394 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"39","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=38776 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"40","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=40158 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"41","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=41540 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"42","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=42922 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"43","0.011221","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=44304 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"45","0.011571","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=45686 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"46","0.011571","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=47068 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"47","0.011571","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=48450 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"49","0.012813","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data"
"50","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=51214 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"51","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=52596 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"52","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=53978 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"53","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=55360 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"54","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=56742 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"55","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=58124 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"56","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=59506 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"57","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=60888 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"59","0.013052","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=62270 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"60","0.013052","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=63652 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"61","0.013052","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=65034 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
